Category: All categories

Country,ChatGPT: (8/20/23 - 8/20/24)
Bhutan,
Solomon Islands,
Madagascar,
Vanuatu,
Philippines,100
Fiji,
China,93
Sri Lanka,88
Malawi,
Botswana,
Kiribati,
Rwanda,
Ecuador,80
Pakistan,77
Djibouti,
Nepal,76
Kenya,74
Cape Verde,
Namibia,
Tunisia,66
Peru,64
Mauritius,
Morocco,62
Lesotho,
Bolivia,61
Mozambique,
Panama,57
Tonga,
Lebanon,56
United Arab Emirates,55
Papua New Guinea,
Myanmar (Burma),54
Belize,
Colombia,52
Timor-Leste,
Malaysia,51
El Salvador,51
Sierra Leone,
Tuvalu,
Cook Islands,
Maldives,
Samoa,
Moldova,
Singapore,48
Malta,
Tanzania,46
Costa Rica,46
Honduras,45
Jamaica,
Brunei,
Ethiopia,
Western Sahara,
Albania,
São Tomé & Príncipe,
Nicaragua,
Portugal,42
Somalia,
Kosovo,
Guatemala,42
Benin,
Palau,
Northern Mariana Islands,
Guyana,
India,41
Dominica,
Qatar,40
Luxembourg,
Grenada,
Ghana,39
Gibraltar,
Liechtenstein,
St. Vincent & Grenadines,
Uganda,37
Indonesia,37
Senegal,
Canada,37
Dominican Republic,36
Zambia,
St. Lucia,
French Polynesia,
Oman,
Suriname,
South Africa,35
Angola,
Chile,34
Bangladesh,34
Anguilla,
Latvia,
Curaçao,
Uruguay,34
Australia,34
American Samoa,
Seychelles,
Trinidad & Tobago,
Togo,
Algeria,33
Switzerland,33
St. Kitts & Nevis,
Paraguay,32
Jordan,32
Sint Maarten,
New Zealand,31
Andorra,
Antigua & Barbuda,
South Korea,31
Haiti,
Spain,31
North Macedonia,
Micronesia,
Mexico,30
Cyprus,
Belgium,30
Cayman Islands,
Svalbard & Jan Mayen,
British Virgin Islands,
Puerto Rico,
San Marino,
Comoros,
Lithuania,30
Aruba,
Burkina Faso,
Gabon,
Brazil,28
Mayotte,
Romania,27
Bosnia & Herzegovina,
Slovenia,
Palestine,
Caribbean Netherlands,
Côte d’Ivoire,
Liberia,
Nigeria,26
Estonia,
Mongolia,
New Caledonia,
Ukraine,26
Montenegro,
Eritrea,
Réunion,
Austria,25
France,25
St. Martin,
Israel,25
French Guiana,
Ireland,25
Taiwan,25
Kyrgyzstan,
St. Barthélemy,
Denmark,24
Kazakhstan,24
Guam,
Croatia,23
Congo - Brazzaville,
Serbia,23
Armenia,
Argentina,22
Netherlands,22
Burundi,
Zimbabwe,
Gambia,
Guinea,
St. Helena,
Turks & Caicos Islands,
Georgia,
Bulgaria,21
Bahrain,
Bermuda,
Barbados,
Falkland Islands (Islas Malvinas),
Mauritania,
Germany,20
Norway,20
Cambodia,
U.S. Virgin Islands,
Montserrat,
Azerbaijan,
Guadeloupe,
United States,19
North Korea,
Faroe Islands,
Sweden,19
United Kingdom,19
Italy,18
Niger,
Greece,18
Martinique,
Kuwait,
Åland Islands,
Bahamas,
Iceland,
Isle of Man,
Czechia,17
Poland,17
Jersey,
Egypt,16
Finland,16
Slovakia,16
Uzbekistan,
Hong Kong,15
South Sudan,
Afghanistan,
Guernsey,
St. Pierre & Miquelon,
Thailand,15
Vietnam,15
Hungary,15
Mali,
Marshall Islands,
Eswatini,
Türkiye,13
Greenland,
Guinea-Bissau,
Macao,
Saudi Arabia,12
Iraq,
Cameroon,
Chad,
Laos,
Equatorial Guinea,
Japan,9
Central African Republic,
Libya,
Yemen,
Congo - Kinshasa,
Russia,7
Venezuela,
Belarus,
Cuba,
Sudan,
Syria,
Tajikistan,
Iran,4
Turkmenistan,
Nauru,
Niue,
Pitcairn Islands,
U.S. Outlying Islands,
Tokelau,
Norfolk Island,
Vatican City,
French Southern Territories,
Heard & McDonald Islands,
Antarctica,
Monaco,
Wallis & Futuna,
Bouvet Island,
Cocos (Keeling) Islands,
British Indian Ocean Territory,
Christmas Island,
South Georgia & South Sandwich Islands,
